country,country_iso,region,year,gdp_usd_billion,govt_revenue_usd_million,govt_expenditure_usd_million,govt_gross_debt_usd_million,govt_resource_revenue_usd_million,fx_rate,population,net_oda_&_official_aid_recieved_usd_current
Algeria,DZA,Middle East/North Africa,2011-01-01,200.25099999999998,80045.39936,80254.16604,18623.343,54565.216570000004,72.93788333,3.6661444e+07,1.9335e+08
Algeria,DZA,Middle East/North Africa,2012-01-01,209.016,81759.97892000001,91030.95381,19438.488,53959.02902,77.53596667,3.7383887e+07,1.4732e+08
Algeria,DZA,Middle East/North Africa,2013-01-01,209.755,75061.93901,75900.87491,15941.38,46347.21046,79.3684,3.8140132e+07,2.0342e+08
Algeria,DZA,Middle East/North Africa,2014-01-01,213.81,71210.44954,86818.74375,16463.37,42079.72611,80.57901667,3.8923687e+07,1.6062e+08
Algeria,DZA,Middle East/North Africa,2015-01-01,165.87400000000002,50696.82525,76037.56096,14596.912,23431.25929,100.6914333,3.9728025e+07,8.749e+07
Algeria,DZA,Middle East/North Africa,2016-01-01,159.049,45791.6719,66678.44956000001,32764.093999999997,15969.4935,109.44306670000002,4.0551404e+07,1.5793e+08
Algeria,DZA,Middle East/North Africa,2017-01-01,178.287,53282.57425,64762.049510000004,45998.045999999995,,110.97301670000002,4.1389198e+07,1.8919e+08
Angola,AGO,Sub-Saharan Africa,2011-01-01,104.116,50845.39002,41811.43826,35191.208,40634.61106,93.93475,2.4220661e+07,1.9294e+08
Angola,AGO,Sub-Saharan Africa,2012-01-01,113.92299999999999,52937.165960000006,47647.04534,34062.977,42998.92057,95.46795542,2.5107931e+07,2.4361e+08
Angola,AGO,Sub-Saharan Africa,2013-01-01,124.913,50235.13708,50650.44701,41096.377,37609.44816,96.51827948,2.601578e+07,2.8554e+08
Angola,AGO,Sub-Saharan Africa,2014-01-01,126.73,44786.7015,53121.94926,51579.11,30212.894089999998,98.30241686,2.6941779e+07,2.3539e+08
Angola,AGO,Sub-Saharan Africa,2015-01-01,102.62100000000001,28042.01502,31431.66705,66293.166,15860.3222,120.0607017,2.7884381e+07,3.8006e+08
Angola,AGO,Sub-Saharan Africa,2016-01-01,95.337,17719.8655,22290.86818,76078.92599999999,,163.6564341,2.8842484e+07,2.0653e+08
Angola,AGO,Sub-Saharan Africa,2017-01-01,124.209,20443.6161,27374.281860000003,81108.477,,165.9159507,2.9816748e+07,2.2322e+08
Argentina,ARG,Latin America/Caribbean,2011-01-01,527.644,170479.3686,185030.6993,197866.5,,4.110139576,4.126149e+07,9.518e+07
Argentina,ARG,Latin America/Caribbean,2012-01-01,579.6659999999999,196543.2888,214085.9715,225490.074,,4.53693436,4.1733271e+07,1.7776e+08
Argentina,ARG,Latin America/Caribbean,2013-01-01,611.471,210668.5665,230618.5508,254983.407,,5.459352665,4.2202935e+07,3.473e+07
Argentina,ARG,Latin America/Caribbean,2014-01-01,563.614,196202.2105,220310.241,245735.704,,8.075275993,4.26695e+07,4.879e+07
Argentina,ARG,Latin America/Caribbean,2015-01-01,642.464,228158.9593,265480.8564,353997.664,,9.233185525,4.3131966e+07,-1.887e+07
Argentina,ARG,Latin America/Caribbean,2016-01-01,554.107,194578.3935,229852.6058,295339.031,,14.75817509,4.3590368e+07,2.62e+06
Argentina,ARG,Latin America/Caribbean,2017-01-01,637.717,217160.6982,258323.0519,335439.142,,16.56270693,4.4044811e+07,-4.93e+06
Azerbaijan,AZE,Eurasia,2011-01-01,65.99,29411.675730000003,22249.338780000002,7390.88,22460.01112,0.7896863890000001,9.173082e+06,2.8747e+08
Azerbaijan,AZE,Eurasia,2012-01-01,69.687,28110.64816,25528.05794,9616.806,20957.71866,0.785645349,9.295784e+06,2.8679e+08
Azerbaijan,AZE,Eurasia,2013-01-01,74.16,29236.200269999998,28017.6535,9344.16,21211.686690000002,0.784541075,9.416801e+06,-7.083e+07
Azerbaijan,AZE,Eurasia,2014-01-01,75.24,29430.83263,27367.97147,10834.56,19709.8432,0.7843475000000001,9.535079e+06,2.1674e+08
Azerbaijan,AZE,Eurasia,2015-01-01,50.843999999999994,17974.478180000002,20528.73586,17795.4,9900.666808,1.0245638190000002,9.649341e+06,6.962e+07
Azerbaijan,AZE,Eurasia,2016-01-01,37.81,12962.78772,13405.847459999999,19169.67,,1.595721573,9.757812e+06,7.751e+07
Azerbaijan,AZE,Eurasia,2017-01-01,40.67,14858.04761,14493.757309999999,22246.49,,1.7211548019999998,9.854033e+06,1.1551e+08
Bahrain,BHR,Middle East/North Africa,2011-01-01,28.776999999999997,7561.170212999999,7986.702128,9438.856,6680.61242,0.376,1.278151e+06,
Bahrain,BHR,Middle East/North Africa,2012-01-01,30.749000000000002,8119.680851000001,9813.829787,11131.138,7035.480084000001,0.376,1.299943e+06,
Bahrain,BHR,Middle East/North Africa,2013-01-01,32.539,8005.319148999999,11170.21277,14284.621000000001,6991.404366,0.376,1.315029e+06,
Bahrain,BHR,Middle East/North Africa,2014-01-01,33.388000000000005,8335.106383,9486.702128,14824.271999999999,,0.376,1.336075e+06,
Bahrain,BHR,Middle East/North Africa,2015-01-01,31.125999999999998,5654.255319,11380.31915,20543.16,,0.376,1.371851e+06,
Bahrain,BHR,Middle East/North Africa,2016-01-01,32.176,5659.574468,11428.191490000001,26223.44,,0.376,1.425791e+06,
Bahrain,BHR,Middle East/North Africa,2017-01-01,34.895,6465.425532,11750,31510.185,,0.376,1.494074e+06,
Bangladesh,BGD,Asia-Pacific,2011-01-01,131.079,12798.22366,17231.067369999997,47974.914000000004,,74.1524,1.49273778e+08,1.49468e+09
Bangladesh,BGD,Asia-Pacific,2012-01-01,141.705,14495.53464,18334.65991,51297.21,,81.86265833,1.51007807e+08,2.15405e+09
Bangladesh,BGD,Asia-Pacific,2013-01-01,161.297,17236.904459999998,22426.85594,57744.325999999994,,78.103235,1.52764676e+08,2.63359e+09
Bangladesh,BGD,Asia-Pacific,2014-01-01,184.013,18898.93591,24223.67188,64956.58900000001,,77.64140833,1.54520167e+08,2.42264e+09
Bangladesh,BGD,Asia-Pacific,2015-01-01,208.322,19046.68231,26776.55913,67496.328,,77.94690833,1.56256276e+08,2.57013e+09
Bangladesh,BGD,Asia-Pacific,2016-01-01,235.623,22219.70297,29625.21113,75634.983,,78.65361667,1.5797084e+08,2.50505e+09
Bangladesh,BGD,Asia-Pacific,2017-01-01,261.374,25103.70106,33306.835889999995,84685.17599999999,,80.43754167,1.59670593e+08,3.74001e+09
Bolivia,BOL,Latin America/Caribbean,2011-01-01,24.135,8671.66285,8472.440207,8519.655,2490.17653,6.9369625,1.0212954e+07,7.2347e+08
Bolivia,BOL,Latin America/Caribbean,2012-01-01,27.281999999999996,10236.6136,9760.781476,9657.828000000001,3521.850092,6.91,1.0377676e+07,6.6172e+08
Bolivia,BOL,Latin America/Caribbean,2013-01-01,30.883000000000003,11983.93632,11782.63386,11148.763,4139.870379,6.91,1.0542376e+07,7.023e+08
Bolivia,BOL,Latin America/Caribbean,2014-01-01,33.236999999999995,13163.24168,14273.08249,12297.69,4190.442358,6.91,1.0706517e+07,6.7456e+08
Bolivia,BOL,Latin America/Caribbean,2015-01-01,33.241,12436.6136,14714.90593,13495.846000000001,3002.609792,6.91,1.086973e+07,7.9131e+08
Bolivia,BOL,Latin America/Caribbean,2016-01-01,34.053000000000004,11208.683070000001,13447.46744,15732.486,1389.292031,6.91,1.1031813e+07,6.9645e+08
Bolivia,BOL,Latin America/Caribbean,2017-01-01,37.122,11686.39653,14380.4631,18895.098,,6.91,1.1192854e+07,9.4694e+08
Brazil,BRA,Latin America/Caribbean,2011-01-01,2613.859,918492.7,983032.4801,1.599681708e+06,,1.672828755,1.97514534e+08,8.2107e+08
Brazil,BRA,Latin America/Caribbean,2012-01-01,2464.183,855638.6552,917753.7286,1.532721826e+06,,1.953068611,1.99287296e+08,1.28854e+09
Brazil,BRA,Latin America/Caribbean,2013-01-01,2471.173,852905.8267,925974.6977,1.487646146e+06,,2.1560891509999998,2.01035903e+08,1.15573e+09
Brazil,BRA,Latin America/Caribbean,2014-01-01,2455.7070000000003,797919.8172,929411.2394,1.529905461e+06,,2.352951963,2.02763735e+08,9.1415e+08
Brazil,BRA,Latin America/Caribbean,2015-01-01,1799.705,506099.9074,692210.1555,1.30658583e+06,,3.326904383,2.04471769e+08,1.00315e+09
Brazil,BRA,Latin America/Caribbean,2016-01-01,1793.066,546803.0994,708283.8753,1.405763744e+06,,3.4913134219999997,2.06163058e+08,6.7463e+08
Brazil,BRA,Latin America/Caribbean,2017-01-01,2054.969,618844.8741,779532.5647,1.72617396e+06,,3.191389446,2.07833831e+08,2.6506e+08
Brunei,BRN,Asia-Pacific,2011-01-01,18.525,10251.9012,5502.765206,389.025,6430.558868,1.25791302,393688,
Brunei,BRN,Asia-Pacific,2012-01-01,19.047,8899.082525,5903.644945,399.98699999999997,9619.482234000001,1.2495670159999999,398989,
Brunei,BRN,Asia-Pacific,2013-01-01,18.092,8425.742693,6075.9339740000005,398.024,8256.074169,1.25116567,404421,
Brunei,BRN,Asia-Pacific,2014-01-01,17.098,6439.41723,5828.544704999999,547.136,6716.7799319999995,1.267040123,409769,
Brunei,BRN,Asia-Pacific,2015-01-01,12.931,3123.111594,5000.324222,387.93,4470.143282999999,1.374910845,414907,
Brunei,BRN,Asia-Pacific,2016-01-01,11.399000000000001,2006.7370809999998,4455.796081,341.97,1995.119095,1.381346877,419800,
Brunei,BRN,Asia-Pacific,2017-01-01,12.743,2488.972404,4064.766396,344.061,,1.3808911640000001,424473,
Cameroon,CMR,Sub-Saharan Africa,2011-01-01,29.364,4768.630196,5459.37274,4610.148,1403.8413369999998,471.8661141,2.0906388e+07,6.1208e+08
Cameroon,CMR,Sub-Saharan Africa,2012-01-01,29.121,4751.5868,5172.563443,4484.634,1090.816676,510.5271359,2.1485266e+07,5.9717e+08
Cameroon,CMR,Sub-Saharan Africa,2013-01-01,32.358000000000004,5278.132949,6476.717993,5889.156,1151.694062,494.04003739999996,2.2077298e+07,7.5196e+08
Cameroon,CMR,Sub-Saharan Africa,2014-01-01,34.999,5804.945792,7262.310695,7524.785,1154.07854,494.4149529,2.2681858e+07,8.5612e+08
Cameroon,CMR,Sub-Saharan Africa,2015-01-01,30.932,5094.624244,6461.6285100000005,9557.988000000001,753.3651743,591.4495075,2.3298368e+07,6.6308e+08
Cameroon,CMR,Sub-Saharan Africa,2016-01-01,32.23,4833.265616,6819.877367,10152.45,591.737256,593.0081704,2.3926539e+07,7.5705e+08
Cameroon,CMR,Sub-Saharan Africa,2017-01-01,34.006,5068.444635,6523.502065,11494.028,,582.0945501,2.4566045e+07,1.2126e+09
Chad,TCD,Sub-Saharan Africa,2011-01-01,12.17,3013.062302,2722.119605,3724.02,2152.937845,471.8661141,1.2360989e+07,4.5766e+08
Chad,TCD,Sub-Saharan Africa,2012-01-01,12.404000000000002,3020.572055,2961.862149,3572.3520000000003,1992.1891899999998,510.5271359,1.278475e+07,4.7513e+08
Chad,TCD,Sub-Saharan Africa,2013-01-01,12.99,2694.2006699999997,2962.440064,3961.95,1511.348834,494.04003739999996,1.3220424e+07,4.5934e+08
Chad,TCD,Sub-Saharan Africa,2014-01-01,13.981,2488.112451,3072.763053,5802.115,1222.539129,494.4149529,1.3663559e+07,3.9193e+08
Chad,TCD,Sub-Saharan Africa,2015-01-01,10.946,1528.103394,2007.620236,4794.348,427.2047474,591.4495075,1.4110975e+07,6.0665e+08
Chad,TCD,Sub-Saharan Africa,2016-01-01,10.091000000000001,1267.606481,1465.0219730000001,5287.684,274.34964310000004,593.0081704,1.4561666e+07,6.2446e+08
Chad,TCD,Sub-Saharan Africa,2017-01-01,9.872,1391.7172039999998,1478.398999,5182.8,,582.0945501,1.5016773e+07,6.4783e+08
China,CHN,Asia-Pacific,2011-01-01,7522.103,2.024480739e+06,2.031830469e+06,2.527426608e+06,,6.461461327,1.34413e+09,-6.0294e+08
China,CHN,Asia-Pacific,2012-01-01,8570.348,2.378841929e+06,2.404606889e+06,2.9396293639999996e+06,,6.3123328270000005,1.350695e+09,-1.8053e+08
China,CHN,Asia-Pacific,2013-01-01,9635.025,2.669189965e+06,2.749339798e+06,3.56495925e+06,,6.195758346,1.35738e+09,-6.5655e+08
China,CHN,Asia-Pacific,2014-01-01,10534.526000000002,2.955674745e+06,3.051300415e+06,4.203275874e+06,,6.143434094,1.36427e+09,-9.4707e+08
China,CHN,Asia-Pacific,2015-01-01,11226.186000000002,3.203373631e+06,3.516170988e+06,4.613962446e+06,,6.227488673,1.37122e+09,-3.3227e+08
China,CHN,Asia-Pacific,2016-01-01,11221.836000000001,3.167733348e+06,3.583358333e+06,4.971273348e+06,,6.6444778289999995,1.378665e+09,-7.9153e+08
China,CHN,Asia-Pacific,2017-01-01,12014.61,3.3123296689999998e+06,3.787285184e+06,5.74298358e+06,,6.758755086,1.386395e+09,-1.04504e+09
Colombia,COL,Latin America/Caribbean,2011-01-01,335.43699999999995,89652.42326,96327.75334,119751.009,12012.080259999999,1848.1394699999998,4.5663099e+07,1.01769e+09
Colombia,COL,Latin America/Caribbean,2012-01-01,369.43,104798.3518,104498.6823,125975.63,16138.94272,1796.8959120000002,4.6076848e+07,7.6425e+08
Colombia,COL,Latin America/Caribbean,2013-01-01,380.17,106948.87,110217.2689,143704.26,18629.48087,1868.785327,4.6497267e+07,8.5749e+08
Colombia,COL,Latin America/Caribbean,2014-01-01,378.32300000000004,104653.7488,111349.2188,165327.15099999998,15128.52805,2001.781048,4.6969209e+07,1.22417e+09
Colombia,COL,Latin America/Caribbean,2015-01-01,291.53,76896.46274,86844.23453,147514.18,5830.3043,2741.880855,4.7520667e+07,1.35586e+09
Colombia,COL,Latin America/Caribbean,2016-01-01,279.987,70297.06049,78566.36594,141953.409,3080.8857420000004,3054.121673,4.8171392e+07,1.1065e+09
Colombia,COL,Latin America/Caribbean,2017-01-01,309.197,79238.52562999999,88812.10528999999,152743.318,,2951.327402,4.8901066e+07,8.4485e+08
Congo (Rep.),COG,Sub-Saharan Africa,2011-01-01,14.811,6133.095625,3855.330878,3525.018,4716.630654,471.8661141,4.394844e+06,2.6124e+08
Congo (Rep.),COG,Sub-Saharan Africa,2012-01-01,13.664000000000001,5828.8772340000005,4807.961864,3907.9040000000005,4494.619047,510.5271359,4.510198e+06,1.4013e+08
Congo (Rep.),COG,Sub-Saharan Africa,2013-01-01,14.026,6322.479482,7018.676093000001,4796.892,4666.652416,494.04003739999996,4.622761e+06,1.5099e+08
Congo (Rep.),COG,Sub-Saharan Africa,2014-01-01,14.099,5584.028121,7935.401179,6711.124,4019.012296,494.4149529,4.736974e+06,1.0618e+08
Congo (Rep.),COG,Sub-Saharan Africa,2015-01-01,8.554,2216.079282,4545.6120359999995,8305.934000000001,,591.4495075,4.856095e+06,8.88e+07
Congo (Rep.),COG,Sub-Saharan Africa,2016-01-01,7.787000000000001,2135.889627,3891.2077689999996,8923.902,,593.0081704,4.980999e+06,8.784e+07
Congo (Rep.),COG,Sub-Saharan Africa,2017-01-01,8.513,1961.7431559999998,2573.575031,10138.983,,582.0945501,5.110702e+06,1.0797e+08
Cote d'Ivoire,CIV,Sub-Saharan Africa,2011-01-01,25.693,3657.520531,4682.67361,17779.556,,471.8661141,2.1028655e+07,1.43771e+09
Cote d'Ivoire,CIV,Sub-Saharan Africa,2012-01-01,26.805,5134.614432,5977.646995,12062.25,,510.5271359,2.1547188e+07,2.90835e+09
Cote d'Ivoire,CIV,Sub-Saharan Africa,2013-01-01,31.274,6152.353594,6852.8535,13572.916000000001,,494.04003739999996,2.2087505e+07,1.27346e+09
Cote d'Ivoire,CIV,Sub-Saharan Africa,2014-01-01,35.373000000000005,6661.266979999999,7426.858712,15847.104,,494.4149529,2.2647683e+07,9.2504e+08
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015-01-01,33.148,6622.394558,7557.625703,15679.003999999999,,591.4495075,2.3226143e+07,6.5306e+08
Cote d'Ivoire,CIV,Sub-Saharan Africa,2016-01-01,36.375,7043.103634,8456.134755,17096.25,,593.0081704,2.3822714e+07,6.1626e+08
Cote d'Ivoire,CIV,Sub-Saharan Africa,2017-01-01,40.36,7693.275944,9411.259731999999,18727.04,,582.0945501,2.4437469e+07,8.2745e+08
Cuba,CUB,Latin America/Caribbean,2011-01-01,,,,,,,1.123667e+07,8.728e+07
Cuba,CUB,Latin America/Caribbean,2012-01-01,,,,,,,1.1257101e+07,8.576e+07
Cuba,CUB,Latin America/Caribbean,2013-01-01,,,,,,,1.128272e+07,9.946e+07
Cuba,CUB,Latin America/Caribbean,2014-01-01,,,,,,,1.1306902e+07,2.6154e+08
Cuba,CUB,Latin America/Caribbean,2015-01-01,,,,,,,1.1324781e+07,5.5273e+08
Cuba,CUB,Latin America/Caribbean,2016-01-01,,,,,,,1.1335109e+07,2.67775e+09
Cuba,CUB,Latin America/Caribbean,2017-01-01,,,,,,,1.1339259e+07,7.1778e+08
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2011-01-01,24.575,3359.1062799999995,3591.531535,6020.875,340.4817182,919.4913,6.6755153e+07,5.52646e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2012-01-01,27.566,4538.403079,3996.3565659999995,6257.482,757.3255081,919.7550167000002,6.9020747e+07,2.84617e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2013-01-01,32.676,4779.064736,4141.044127,6535.2,408.65526789999996,919.5659073999999,7.1358807e+07,2.58401e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2014-01-01,35.918,6679.330361,6639.626561,6285.65,238.22712099999998,925.2262824999999,7.3767447e+07,2.40002e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2015-01-01,38.402,6439.067857,6533.855573,6182.722,332.22337389999996,925.9849613,7.6244544e+07,2.59904e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2016-01-01,39.324,4890.870548,5312.499607,6606.432,,1010.302757,7.8789127e+07,2.10221e+09
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2017-01-01,41.441,4130.418557,5141.787625999999,6506.236999999999,,1464.417932,8.1398764e+07,2.28021e+09
Denmark,DNK,Western Europe,2011-01-01,344.00300000000004,187046.7417,194118.6434,158585.383,,5.368711535,5.570572e+06,
Denmark,DNK,Western Europe,2012-01-01,327.149,178179.9497,189598.9017,146889.90099999998,,5.7924755370000005,5.591572e+06,
Denmark,DNK,Western Europe,2013-01-01,343.584,187544.6127,191790.1036,151176.96,,5.616311686,5.614932e+06,
Denmark,DNK,Western Europe,2014-01-01,352.994,198954.7674,194915.0106,154964.366,,5.6124666670000005,5.643475e+06,
Denmark,DNK,Western Europe,2015-01-01,301.29900000000004,160612.0636,165044.1999,119314.40400000001,,6.727906831,5.683483e+06,
Denmark,DNK,Western Europe,2016-01-01,306.9,163230.5391,164485.0479,115701.3,,6.731718257000001,5.72801e+06,
Denmark,DNK,Western Europe,2017-01-01,324.48400000000004,168978.7978,169278.9693,118112.17599999999,,6.602893466,5.76498e+06,
Ecuador,ECU,Latin America/Caribbean,2011-01-01,79.277,31190,31290,16965.278000000002,,1,1.5243883e+07,1.6456e+08
Ecuador,ECU,Latin America/Caribbean,2012-01-01,87.925,34570,35394,18112.55,,1,1.5474102e+07,1.4806e+08
Ecuador,ECU,Latin America/Caribbean,2013-01-01,95.13,37260,41607,20072.43,,1,1.5707474e+07,1.5052e+08
Ecuador,ECU,Latin America/Caribbean,2014-01-01,101.726,39032,44346,27567.746,,1,1.5951838e+07,1.6505e+08
Ecuador,ECU,Latin America/Caribbean,2015-01-01,99.29,33586,38812,33560.02,,1,1.621202e+07,3.1816e+08
Ecuador,ECU,Latin America/Caribbean,2016-01-01,98.61399999999999,30314,38540,42305.405999999995,,1,1.6491115e+07,2.4371e+08
Ecuador,ECU,Latin America/Caribbean,2017-01-01,102.311,32741,38214,46039.95,,1,1.6785361e+07,2.0308e+08
Egypt,EGY,Middle East/North Africa,2011-01-01,247.726,50904.73173,74232.8997,180344.52800000002,13576.411769999999,5.932827652,8.452925e+07,4.2373e+08
Egypt,EGY,Middle East/North Africa,2012-01-01,278.769,57605.785939999994,85272.79157,205731.522,13319.70973,6.056058332999999,8.642224e+07,1.81343e+09
Egypt,EGY,Middle East/North Africa,2013-01-01,288.007,58743.80033,93747.9668,241925.88,14898.240930000002,6.870325,8.840464e+07,5.51251e+09
Egypt,EGY,Middle East/North Africa,2014-01-01,305.567,73393.01058,107359.5683,260037.517,14637.022159999999,7.077608561,9.0424654e+07,3.5376e+09
Egypt,EGY,Middle East/North Africa,2015-01-01,332.075,70001.54938,104744.3689,293886.375,13612.31741,7.6912583329999995,9.2442547e+07,2.49943e+09
Egypt,EGY,Middle East/North Africa,2016-01-01,332.48400000000004,58124.958020000005,87053.17806,321844.512,9800.951163,10.02540079,9.4447072e+07,2.13033e+09
Egypt,EGY,Middle East/North Africa,2017-01-01,237.07299999999998,41717.621360000005,63954.44153,244896.40899999999,,17.78253352,9.6442593e+07,-1.137e+08
