country,country_iso,region,year,oil_&_gas_production_boe/day,oil_production_boe/day,gas_production_boe/day,oil_&_gas_reserves_boe
Algeria,DZA,Middle East/North Africa,2011-01-01,2.96866952e+06,1.641503205e+06,1.327166315e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2012-01-01,2.844717833e+06,1.536809071e+06,1.307908762e+06,3.9466401911e+10
Algeria,DZA,Middle East/North Africa,2013-01-01,2.8080664060000004e+06,1.485233041e+06,1.322833365e+06,3.9466401911e+10
Algeria,DZA,Middle East/North Africa,2014-01-01,2.925823502e+06,1.5890926030000001e+06,1.336730899e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2015-01-01,2.915049857e+06,1.557665233e+06,1.357384624e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2016-01-01,3.10079924e+06,1.5769972680000002e+06,1.5238019719999998e+06,3.9466959765e+10
Algeria,DZA,Middle East/North Africa,2017-01-01,3.06161762e+06,1.540270986e+06,1.521346634e+06,3.9466959765e+10
Angola,AGO,Sub-Saharan Africa,2011-01-01,1.670399937e+06,1.670399937e+06,0,9.055e+09
Angola,AGO,Sub-Saharan Africa,2012-01-01,1.7340636509999998e+06,1.7340636509999998e+06,0,9.055e+09
Angola,AGO,Sub-Saharan Africa,2013-01-01,1.747642115e+06,1.747642115e+06,0,9.011e+09
Angola,AGO,Sub-Saharan Africa,2014-01-01,1.6680984719999998e+06,1.6680984719999998e+06,0,8.423e+09
Angola,AGO,Sub-Saharan Africa,2015-01-01,1.772163284e+06,1.772163284e+06,0,9.524e+09
Angola,AGO,Sub-Saharan Africa,2016-01-01,1.776869535e+06,1.755006715e+06,21862.82,9.523e+09
Angola,AGO,Sub-Saharan Africa,2017-01-01,1.786722489e+06,1.674393689e+06,112328.8,9.523e+09
Argentina,ARG,Latin America/Caribbean,2011-01-01,1.297356778e+06,668486.3712,628870.4068,4.558912176e+09
Argentina,ARG,Latin America/Caribbean,2012-01-01,1.269726346e+06,657968.7605,611757.5851,4.284119922e+09
Argentina,ARG,Latin America/Caribbean,2013-01-01,1.222880265e+06,646726.1416,576154.1235,4.337496493e+09
Argentina,ARG,Latin America/Caribbean,2014-01-01,1.214782205e+06,639795.756,574986.449,4.411830218e+09
Argentina,ARG,Latin America/Caribbean,2015-01-01,1.240741995e+06,648993.4309,591748.5636,4.538579527e+09
Argentina,ARG,Latin America/Caribbean,2016-01-01,1.247278856e+06,625664.8261,621614.0299,4.221557576e+09
Argentina,ARG,Latin America/Caribbean,2017-01-01,1.2127994009999998e+06,593394.47,619404.9314,4.221557576e+09
Azerbaijan,AZE,Eurasia,2011-01-01,1.19803275e+06,932075.8082,265956.9418,1.3421412597e+10
Azerbaijan,AZE,Eurasia,2012-01-01,1.162594078e+06,882321.2295,280272.8486,1.3421412597e+10
Azerbaijan,AZE,Eurasia,2013-01-01,1.179268788e+06,888381.3288,290887.4588,1.3341107853e+10
Azerbaijan,AZE,Eurasia,2014-01-01,1.167696858e+06,861175.3562,306521.5017,1.5423430178e+10
Azerbaijan,AZE,Eurasia,2015-01-01,1.16403797e+06,850847.6027,313190.3671,1.5294655112e+10
Azerbaijan,AZE,Eurasia,2016-01-01,1.1422686909999999e+06,837523.5109,304745.1801,1.5294655112e+10
Azerbaijan,AZE,Eurasia,2017-01-01,1.090162518e+06,794529.9315,295632.5867,1.5294655112e+10
Bahrain,BHR,Middle East/North Africa,2011-01-01,247040.0272,36556.16,210483.8672,1.308271763e+09
Bahrain,BHR,Middle East/North Africa,2012-01-01,257166.9418,39550.69,217616.2518,1.191014622e+09
Bahrain,BHR,Middle East/North Africa,2013-01-01,275636.8351,42915.07,232721.7651,1.138385982e+09
Bahrain,BHR,Middle East/North Africa,2014-01-01,288479.2677,43441.09,245038.1777,1.083110721e+09
Bahrain,BHR,Middle East/North Africa,2015-01-01,291418.1744,45369.86,246048.3144,1.028140819e+09
Bahrain,BHR,Middle East/North Africa,2016-01-01,289175.1191,44383.56,244791.5591,9.741888683e+08
Bahrain,BHR,Middle East/North Africa,2017-01-01,291700.3123,40331.51,251368.8023,9.741888683e+08
Bangladesh,BGD,Asia-Pacific,2011-01-01,326497.2023,0,326497.2023,2.112826034e+09
Bangladesh,BGD,Asia-Pacific,2012-01-01,355744.1681,0,355744.1681,1.669164271e+09
Bangladesh,BGD,Asia-Pacific,2013-01-01,366023.3223,0,366023.3223,1.532923032e+09
Bangladesh,BGD,Asia-Pacific,2014-01-01,383855.0646,0,383855.0646,1.405441846e+09
Bangladesh,BGD,Asia-Pacific,2015-01-01,431070.1009,0,431070.1009,1.243342403e+09
Bangladesh,BGD,Asia-Pacific,2016-01-01,441022.0672,0,441022.0672,1.118898954e+09
Bangladesh,BGD,Asia-Pacific,2017-01-01,443339.6988,0,443339.6988,1.118898954e+09
Bolivia,BOL,Latin America/Caribbean,2011-01-01,259547.2159,8882.224,250664.9919,1.705576621e+09
Bolivia,BOL,Latin America/Caribbean,2012-01-01,295426.1063,9650.972,285775.1343,1.92498723e+09
Bolivia,BOL,Latin America/Caribbean,2013-01-01,337868.2165,11482.48,326385.7365,1.804675575e+09
Bolivia,BOL,Latin America/Caribbean,2014-01-01,350085.4234,12005.76,338079.6634,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2015-01-01,337847.2311,11709.4,326137.8311,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2016-01-01,304546.8166,11259.59,293287.2266,1.701551299e+09
Bolivia,BOL,Latin America/Caribbean,2017-01-01,292756.7809,7805.465999999999,284951.3149,1.701551299e+09
Brazil,BRA,Latin America/Caribbean,2011-01-01,2.470869067e+06,2.1787574469999997e+06,292111.6194,1.8029024808e+10
Brazil,BRA,Latin America/Caribbean,2012-01-01,2.481145653e+06,2.144846965e+06,336298.6883,1.8291955925e+10
Brazil,BRA,Latin America/Caribbean,2013-01-01,2.48212973e+06,2.109938141e+06,372191.5899,1.8563830734e+10
Brazil,BRA,Latin America/Caribbean,2014-01-01,2.7372703439999996e+06,2.341371973e+06,395898.37100000004,1.9239062209e+10
Brazil,BRA,Latin America/Caribbean,2015-01-01,2.928631558e+06,2.524987068e+06,403644.49,1.5787967295e+10
Brazil,BRA,Latin America/Caribbean,2016-01-01,3.016846591e+06,2.607791528e+06,409055.0634,1.5081120642e+10
Brazil,BRA,Latin America/Caribbean,2017-01-01,3.192645061e+06,2.733987098e+06,458657.963,1.51896136e+10
Brunei,BRN,Asia-Pacific,2011-01-01,165362.1162,165362.1162,,1.766178957e+09
Brunei,BRN,Asia-Pacific,2012-01-01,159031.5763,159031.5763,,1.766178957e+09
Brunei,BRN,Asia-Pacific,2013-01-01,135156.3973,135156.3973,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2014-01-01,126420.7443,126420.7443,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2015-01-01,126754.1558,126754.1558,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2016-01-01,120908.9924,120908.9924,,1.692588144e+09
Brunei,BRN,Asia-Pacific,2017-01-01,113171.604,113171.604,,1.692588144e+09
Cameroon,CMR,Sub-Saharan Africa,2011-01-01,62490.08726,62485.29,4.79726,
Cameroon,CMR,Sub-Saharan Africa,2012-01-01,64901.1327,64651.13,250.0027,
Cameroon,CMR,Sub-Saharan Africa,2013-01-01,71114.205,68662.15,2452.055,
Cameroon,CMR,Sub-Saharan Africa,2014-01-01,80519.226,75579.5,4939.726,
Cameroon,CMR,Sub-Saharan Africa,2015-01-01,103938.35699999999,98113.7,5824.656999999999,
Cameroon,CMR,Sub-Saharan Africa,2016-01-01,97674.052,91841.09,5832.9619999999995,
Cameroon,CMR,Sub-Saharan Africa,2017-01-01,82739.72200000001,76260.27,6479.451999999999,
Chad,TCD,Sub-Saharan Africa,2011-01-01,113698.6301,113698.6301,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2012-01-01,100819.6721,100819.6721,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2013-01-01,90635.39721,90635.39721,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2014-01-01,88804.47873999999,88804.47873999999,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2015-01-01,110613.8807,110613.8807,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2016-01-01,102955.0431,102955.0431,0,1.5e+09
Chad,TCD,Sub-Saharan Africa,2017-01-01,103467.4395,103467.4395,0,1.5e+09
China,CHN,Asia-Pacific,2011-01-01,5.844305722999999e+06,4.0741846989999996e+06,1.770121024e+06,4.2169687197e+10
China,CHN,Asia-Pacific,2012-01-01,6.0139256110000005e+06,4.155228798e+06,1.858696814e+06,4.4176975295e+10
China,CHN,Asia-Pacific,2013-01-01,6.247417755e+06,4.2164426280000005e+06,2.0309751269999999e+06,4.5907586618e+10
China,CHN,Asia-Pacific,2014-01-01,6.433163002e+06,4.245957726e+06,2.187205276e+06,4.7661573439e+10
China,CHN,Asia-Pacific,2015-01-01,6.570870166e+06,4.308835068e+06,2.262035098e+06,5.5059019619e+10
China,CHN,Asia-Pacific,2016-01-01,6.299084807e+06,3.999155874e+06,2.299928933e+06,6.0127650265e+10
China,CHN,Asia-Pacific,2017-01-01,6.333490177e+06,3.845940548e+06,2.487549629e+06,6.0127650265e+10
Colombia,COL,Latin America/Caribbean,2011-01-01,1.091097312e+06,915264.2466,175833.0649,2.92411441e+09
Colombia,COL,Latin America/Caribbean,2012-01-01,1.136289574e+06,944120.082,192169.492,3.181771541e+09
Colombia,COL,Latin America/Caribbean,2013-01-01,1.224465731e+06,1.003988e+06,220477.7312,3.321228674e+09
Colombia,COL,Latin America/Caribbean,2014-01-01,1.196006509e+06,990378.6301,205627.8786,3.260828697e+09
Colombia,COL,Latin America/Caribbean,2015-01-01,1.199155675e+06,1.005574493e+06,193581.1815,3.055600106e+09
Colombia,COL,Latin America/Caribbean,2016-01-01,1.067255919e+06,885894.1257,181361.793,2.691772794e+09
Colombia,COL,Latin America/Caribbean,2017-01-01,1.0204798879999999e+06,851450.6968,169029.19100000002,2.355262794e+09
Congo (Rep.),COG,Sub-Saharan Africa,2011-01-01,300562.6,300562.6,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2012-01-01,280987,280987,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2013-01-01,249942.2,249942.2,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2014-01-01,264462.2,264462.2,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2015-01-01,246966.7493,246966.7493,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2016-01-01,249548.3981,249548.3981,,1.6e+09
Congo (Rep.),COG,Sub-Saharan Africa,2017-01-01,290516.9587,290516.9587,,1.6e+09
Cote d'Ivoire,CIV,Sub-Saharan Africa,2011-01-01,56974.45,33351.55,23622.9,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2012-01-01,53006.4,28611.95,24394.45,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2013-01-01,49386.1,24136.99,25249.11,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2014-01-01,47469.77,17728.77,29741,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015-01-01,61025.46,29145.15,31880.31,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2016-01-01,80173.05,47339.98,32833.07,
Cote d'Ivoire,CIV,Sub-Saharan Africa,2017-01-01,78145.73,42529.01,35616.72,
Cuba,CUB,Latin America/Caribbean,2011-01-01,66405.9,53622.4,12783.5,
Cuba,CUB,Latin America/Caribbean,2012-01-01,63775.62,53726.41,10049.21,
Cuba,CUB,Latin America/Caribbean,2013-01-01,61576.292,53622.04,7954.2519999999995,
Cuba,CUB,Latin America/Caribbean,2014-01-01,59044.919,53296.1,5748.819,
Cuba,CUB,Latin America/Caribbean,2015-01-01,52193.691,48336.73,3856.961,
Cuba,CUB,Latin America/Caribbean,2016-01-01,37822.174,35233.38,2588.794,
Cuba,CUB,Latin America/Caribbean,2017-01-01,28471.097999999998,26732.46,1738.638,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2011-01-01,27994.54,27994.54,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2012-01-01,28005.5,28005.5,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2013-01-01,27997.26,27997.26,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2014-01-01,27997.27,27997.27,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2015-01-01,22495.9,22495.9,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2016-01-01,19695.75,19695.75,,
Dem. Rep. of Congo,COD,Sub-Saharan Africa,2017-01-01,18609.72,18609.72,,
Denmark,DNK,Western Europe,2011-01-01,338837.7371,224507.5173,114330.2198,1.086479689e+09
Denmark,DNK,Western Europe,2012-01-01,304127.7595,204235.3349,99892.42452999999,9.785220731e+08
Denmark,DNK,Western Europe,2013-01-01,261103.6003,178177.9889,82925.61144,9.119319186e+08
Denmark,DNK,Western Europe,2014-01-01,246882.7437,166840.4477,80042.29605,8.392725832e+08
Denmark,DNK,Western Europe,2015-01-01,237722.921,157799.1558,79923.76513,6.022019929e+08
Denmark,DNK,Western Europe,2016-01-01,220069.4965,141703.7193,78365.77725,5.256189903e+08
Denmark,DNK,Western Europe,2017-01-01,222446.4193,138246.2543,84200.16499,5.256685125e+08
Ecuador,ECU,Latin America/Caribbean,2011-01-01,504506.64200000005,500608.001,3898.6409999999996,8.235e+09
Ecuador,ECU,Latin America/Caribbean,2012-01-01,512950.7956,504615.5356,8335.26,8.235e+09
Ecuador,ECU,Latin America/Caribbean,2013-01-01,535656.0465,527353.5605,8302.485999999999,8.832e+09
Ecuador,ECU,Latin America/Caribbean,2014-01-01,564496.4429,556553.9029,7942.54,8.273e+09
Ecuador,ECU,Latin America/Caribbean,2015-01-01,551027.5216,543094.8606,7932.661,8.273e+09
Ecuador,ECU,Latin America/Caribbean,2016-01-01,556340.0817,548391.8327,7948.249,8.273e+09
Ecuador,ECU,Latin America/Caribbean,2017-01-01,539259.8169,531312.5729,7947.244000000001,8.273e+09
Egypt,EGY,Middle East/North Africa,2011-01-01,714341.811,714341.811,,1.7558135562e+10
Egypt,EGY,Middle East/North Africa,2012-01-01,715295.818,715295.818,,1.6550043592e+10
Egypt,EGY,Middle East/North Africa,2013-01-01,709814.933,709814.933,,1.5077144138e+10
Egypt,EGY,Middle East/North Africa,2014-01-01,714445.5315,714445.5315,,1.4858144138e+10
Egypt,EGY,Middle East/North Africa,2015-01-01,726245.4795,726245.4795,,1.4650144138e+10
Egypt,EGY,Middle East/North Africa,2016-01-01,691387.2951,691387.2951,,1.4561144138e+10
Egypt,EGY,Middle East/North Africa,2017-01-01,660201.5068,660201.5068,,1.4502144138e+10
Equatorial Guinea,GNQ,Sub-Saharan Africa,2011-01-01,433146.6959,300643.0959,132503.6,1.705e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2012-01-01,452990.3962,319726.8962,133263.5,1.705e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2013-01-01,413731.2959,282056.4959,131674.8,1.705e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2014-01-01,416366.2671,284307.5671,132058.7,1.1e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2015-01-01,385935.2096,259575.1096,126360.1,1.1e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2016-01-01,358749.4044,222882.4044,135867,1.1e+09
Equatorial Guinea,GNQ,Sub-Saharan Africa,2017-01-01,352178.8523,198520.1523,153658.7,1.1e+09
Gabon,GAB,Sub-Saharan Africa,2011-01-01,247348.145,246216,1132.145,2e+09
Gabon,GAB,Sub-Saharan Africa,2012-01-01,247825.263,241641,6184.263000000001,2e+09
Gabon,GAB,Sub-Saharan Africa,2013-01-01,232598.08800000002,226413,6185.088000000001,2e+09
Gabon,GAB,Sub-Saharan Africa,2014-01-01,228095.246,225867,2228.246,2e+09
Gabon,GAB,Sub-Saharan Africa,2015-01-01,226869.008,224686,2183.008,2e+09
Gabon,GAB,Sub-Saharan Africa,2016-01-01,222401.34,220246,2155.34,2e+09
Gabon,GAB,Sub-Saharan Africa,2017-01-01,201812.3032,199676.5772,2135.726,2e+09
Ghana,GHA,Sub-Saharan Africa,2011-01-01,66203.58548,66202.38,1.2054790000000002,
Ghana,GHA,Sub-Saharan Africa,2012-01-01,71870.91274,71869.91,1.00274,
Ghana,GHA,Sub-Saharan Africa,2013-01-01,97632.97274,97631.97,1.00274,
Ghana,GHA,Sub-Saharan Africa,2014-01-01,102175.6027,102174.6,1.00274,
Ghana,GHA,Sub-Saharan Africa,2015-01-01,112036.4,102720.4,9316,
Ghana,GHA,Sub-Saharan Africa,2016-01-01,98430.93,88594.33,9836.6,
Ghana,GHA,Sub-Saharan Africa,2017-01-01,180284.3,166036.3,14248,
India,IND,Asia-Pacific,2011-01-01,1.6491525990000002e+06,916069.4877,733083.1114,1.3440825099e+10
India,IND,Asia-Pacific,2012-01-01,1.543543497e+06,906189.3534,637354.1438,1.377290997e+10
India,IND,Asia-Pacific,2013-01-01,1.437037198e+06,905919.2897,531117.9087,1.3912670302e+10
India,IND,Asia-Pacific,2014-01-01,1.390700925e+06,886797.0179,503903.9067,1.4383287922e+10
India,IND,Asia-Pacific,2015-01-01,1.363220003e+06,876022.2652,487197.7376,1.236493859e+10
India,IND,Asia-Pacific,2016-01-01,1.3117195790000001e+06,855765.0463,455954.5326,1.2108848021e+10
India,IND,Asia-Pacific,2017-01-01,1.340197925e+06,864940.5523,475257.3728,1.2357308793e+10
Indonesia,IDN,Asia-Pacific,2011-01-01,2.330809404e+06,952284.7326,1.3785246719999998e+06,2.2670724127e+10
Indonesia,IDN,Asia-Pacific,2012-01-01,2.2232580209999997e+06,917753.2024,1.3055048190000001e+06,2.2424864937e+10
Indonesia,IDN,Asia-Pacific,2013-01-01,2.1764033430000003e+06,882168.2147,1.294235128e+06,2.2048825025e+10
Indonesia,IDN,Asia-Pacific,2014-01-01,2.126287883e+06,852462.0279999999,1.273825855e+06,2.1749426552e+10
Indonesia,IDN,Asia-Pacific,2015-01-01,2.110620208e+06,840752.1862,1.269868022e+06,2.1317087393e+10
Indonesia,IDN,Asia-Pacific,2016-01-01,2.061415554e+06,881969.8246,1.179445729e+06,2.1605374657e+10
Indonesia,IDN,Asia-Pacific,2017-01-01,2.0822769519999998e+06,948892.5621,1.133384389e+06,2.1501914646e+10
Iran,IRN,Middle East/North Africa,2011-01-01,4.47248211e+06,4.47248211e+06,,3.63e+11
Iran,IRN,Middle East/North Africa,2012-01-01,3.820303847e+06,3.820303847e+06,,3.67e+11
Iran,IRN,Middle East/North Africa,2013-01-01,3.61701226e+06,3.61701226e+06,,3.69e+11
Iran,IRN,Middle East/North Africa,2014-01-01,3.723567562e+06,3.723567562e+06,,3.68e+11
Iran,IRN,Middle East/North Africa,2015-01-01,3.8618072e+06,3.8618072e+06,,3.66e+11
Iran,IRN,Middle East/North Africa,2016-01-01,4.602351414e+06,4.602351414e+06,,3.66e+11
Iran,IRN,Middle East/North Africa,2017-01-01,4.981678749e+06,4.981678749e+06,,3.66e+11
Iraq ,IRQ,Middle East/North Africa,2011-01-01,2.878349874e+06,2.773276667e+06,105073.2071,1.65e+11
Iraq ,IRQ,Middle East/North Africa,2012-01-01,3.184230548e+06,3.0785e+06,105730.5482,1.62e+11
Iraq ,IRQ,Middle East/North Africa,2013-01-01,3.22042383e+06,3.1025e+06,117923.8301,1.66e+11
Iraq ,IRQ,Middle East/North Africa,2014-01-01,3.364184152e+06,3.238621005e+06,125563.1477,1.65e+11
Iraq ,IRQ,Middle East/North Africa,2015-01-01,4.107673353e+06,3.985940667e+06,121732.6863,1.65e+11
Iraq ,IRQ,Middle East/North Africa,2016-01-01,4.587877607e+06,4.4228866e+06,164991.00699999998,1.71e+11
Iraq ,IRQ,Middle East/North Africa,2017-01-01,4.693227334e+06,4.519964612e+06,173262.7225,1.71e+11
Jamaica,JAM,Latin America/Caribbean,2011-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2012-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2013-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2014-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2015-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2016-01-01,,0,0,
Jamaica,JAM,Latin America/Caribbean,2017-01-01,,0,0,
Kazakhstan,KAZ,Eurasia,2011-01-01,2.0190878180000002e+06,1.684145009e+06,334942.8087,3.8609698706e+10
Kazakhstan,KAZ,Eurasia,2012-01-01,1.9947886709999999e+06,1.664131034e+06,330657.6365,3.5959431813e+10
Kazakhstan,KAZ,Eurasia,2013-01-01,2.093200552e+06,1.736702215e+06,356498.3364,3.6803316203e+10
Kazakhstan,KAZ,Eurasia,2014-01-01,2.07105434e+06,1.709566795e+06,361487.5447,3.6765031967e+10
Kazakhstan,KAZ,Eurasia,2015-01-01,2.061112352e+06,1.694757886e+06,366354.4667,3.6956408158e+10
Kazakhstan,KAZ,Eurasia,2016-01-01,2.037607803e+06,1.654972076e+06,382635.7268,3.6875984945e+10
Kazakhstan,KAZ,Eurasia,2017-01-01,2.286908227e+06,1.834514507e+06,452393.7194,3.7195161457e+10
Kenya,KEN,Sub-Saharan Africa,2011-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2012-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2013-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2014-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2015-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2016-01-01,,0,0,
Kenya,KEN,Sub-Saharan Africa,2017-01-01,,0,0,
Kuwait,KWT,Middle East/North Africa,2011-01-01,3.127496963e+06,2.913140397e+06,214356.5653,1.12e+11
Kuwait,KWT,Middle East/North Africa,2012-01-01,3.4143432430000002e+06,3.1685926989999996e+06,245750.5439,1.12e+11
